reaction_class,bb_index,cluster_id,centroid_smiles,centroid_mean_similarity,unique_building_blocks,occurrences,supporting_compounds,best_score,mean_score
rxn_33cc78ec,0,1,Oc1ccc(C(F)(F)F)cc1,1.0,1,1,1,-6.5,-6.5
rxn_33cc78ec,1,1,CC(Br)C(=O)O,1.0,1,1,1,-6.5,-6.5
rxn_45d00d3a,0,1,C=CC[C@@H](N)C(=O)O,0.9,4,4,4,-6.6,-6.325
rxn_45d00d3a,1,1,CNCc1ccc(C(F)(F)F)cn1,1.0,1,4,4,-6.6,-6.325
rxn_933507b5,0,1,FC(F)(F)c1ccc(Br)nc1,1.0,1,1,1,-7.1,-7.1
rxn_933507b5,1,1,Cc1[nH]ncc1C(=O)O,1.0,1,1,1,-7.1,-7.1
rxn_a46303e0,0,1,CC(=O)CC(=O)O,1.0,1,1,1,-6.7,-6.7
rxn_a46303e0,0,2,O=C(O)c1ccc(C(F)(F)F)cc1,1.0,1,1,1,-6.5,-6.5
rxn_a46303e0,0,3,O=C(O)c1ccc(C(F)(F)F)cn1,1.0,1,1,1,-6.0,-6.0
rxn_a46303e0,1,1,CNC,1.0,1,2,2,-6.5,-6.25
rxn_a46303e0,1,2,Nc1ccc(C(F)(F)F)cc1,1.0,1,1,1,-6.7,-6.7
rxn_d222a18d,0,1,FC(F)(F)c1ccc(Br)nc1,1.0,1,2,2,-7.1,-7.0
rxn_d222a18d,0,2,O=C(O)c1ncc(C(F)(F)F)cc1Br,1.0,1,1,1,-7.6,-7.6
rxn_d222a18d,1,1,CC1(C)OB(c2ccccc2)OC1(C)C,1.0,1,1,1,-7.6,-7.6
rxn_d222a18d,1,2,CC1(C)COB(c2ccc(C(F)(F)F)cn2)OC1,1.0,1,1,1,-7.1,-7.1
rxn_d222a18d,1,3,CC1(C)COB(c2ccccc2)OC1,1.0,1,1,1,-6.9,-6.9
rxn_decac515,0,1,Nc1ccc(C(F)(F)F)cc1Cl,1.0,1,1,1,-6.3,-6.3
rxn_decac515,0,2,Nc1ccc(C(F)(F)F)cn1,1.0,1,1,1,-6.1,-6.1
rxn_decac515,0,3,O=Cc1cc(C(F)(F)F)ccc1NCC(=O)O,1.0,1,1,1,-6.1,-6.1
rxn_decac515,1,1,CC(C)C(Br)C(=O)O,1.0,2,2,2,-6.3,-6.199999999999999
rxn_decac515,1,2,CBr,1.0,1,1,1,-6.1,-6.1
