rank,smiles,score,mmgbsa,posebusters_valid,pose_file
1,CC(=O)c1cccc(-c2cc(C(=O)Nc3nc4ncccc4cc3C#N)ccc2F)c1,-10.900,,,
2,NC(=O)c1cc2ccccc2nc1NC(=O)c1cccc(-c2cc(F)ccc2F)c1,-10.500,,,
3,Cc1ccc(F)c(-c2cccc(C(=O)Nc3nc(C)ccc3C(N)=O)c2)c1,-10.200,,,
4,CC(=O)c1cccc(-c2ccc(C(=O)Nc3nc4ncccc4cc3C#N)cc2F)c1,-10.100,,,
5,Cc1cccc(-c2cc(C(=O)Nc3nccc4cccnc34)ccc2F)c1,-10.100,,,
6,Cc1cccc(-c2cc(C(=O)Nc3[nH]nc4ncccc34)ccc2F)c1,-10.000,,,
7,Cc1ccc(F)c(-c2cccc(C(=O)Nc3cc(Cl)ccc3C(N)=O)c2)c1,-9.900,,,
8,Cc1ccc(F)c(-c2cccc(C(=O)Nc3ncncc3C(N)=O)c2)c1,-9.800,,,
9,Cc1ccc(F)c(-c2cccc(C(=O)Nc3cccnc3C#N)c2)c1,-9.700,,,
10,CC(=O)c1cccc(-c2ccc(C(=O)Nc3ncccc3C#N)cc2F)c1,-9.700,,,
11,Cc1cccc(-c2cc(C(=O)Nc3nc4ncccc4o3)ccc2F)c1,-9.700,,,
12,Cc1ccc(F)c(-c2cccc(C(=O)Nc3nn(C)cc3C(N)=O)c2)c1,-9.700,,,
13,Cc1ccc(F)c(-c2cccc(C(=O)Nc3c(Cl)[nH]cnc3=O)c2)c1,-9.600,,,
14,Cc1ccc(F)c(-c2cccc(C(=O)Nc3ccncc3C(N)=O)c2)c1,-9.500,,,
15,Cc1ccc(F)c(-c2cccc(C(=O)Nc3sccc3C(N)=O)c2)c1,-9.400,,,
16,Cc1ccc(F)c(-c2cccc(C(=O)Nc3sncc3C(N)=O)c2)c1,-9.300,,,
17,CC(=O)c1cccc(-c2cc(C(=O)Nc3cnc(C)c(C)n3)ccc2F)c1,-9.300,,,
18,Cc1ccc(F)c(-c2cccc(C(=O)Nc3cnc(Cl)nc3C)c2)c1,-9.200,,,
19,Cc1ccc(F)c(-c2cccc(C(=O)Nc3c(C(N)=O)cnn3C)c2)c1,-9.100,,,
20,O=C(Nc1cccc(S(=O)(=O)NC2CC2)c1)c1ccc(C(F)(F)F)cc1C(F)(F)F,-9.000,,,
